symbol,returnOnEquity,returnOnInvestment,beta,Cluster,Sector,Industry
MMS,17.23233,15.08174,0.83249,1,Miscellaneous,Business Services
MNRO,4.14851,2.13103,1.09209,2,Consumer Services,Automotive Aftermarket
MNDO,23.60315,21.39885,0.75878,1,Technology,EDP Services
MSFT,41.39933,21.02607,0.82329,1,Technology,Computer Software: Prepackaged Software
MOMO,23.2365,15.71312,1.50938,1,Technology,Computer Software: Prepackaged Software
MNST,27.30391,25.52269,1.1043,1,Consumer Non-Durables,Beverages (Production/Distribution)
MOH,40.02976,20.91215,0.74399,1,Health Care,Medical Specialities
MRTN,10.69499,8.94854,1.06676,2,Transportation,Trucking Freight/Courier Services
MSEX,12.32171,4.60552,0.22493,2,Public Utilities,Water Supply
MRCY,6.08641,5.70012,0.97586,2,Capital Goods,Electrical Products
NAT,15.24708,9.55897,0.65263,2,Consumer Services,Marine Transportation
MTRN,4.10424,3.21102,1.46393,0,Capital Goods,Industrial Specialties
MTSC,2.7344,1.22791,1.82688,0,Capital Goods,Industrial Machinery/Components
MYE,22.49515,15.5185,1.49343,1,Consumer Non-Durables,Plastic Products
MXIM,39.17481,20.90151,1.2687,1,Technology,Semiconductors
NAII,0.69613,0.53932,0.85452,2,Consumer Durables,Specialty Chemicals
NATI,16.45052,13.86914,1.07781,2,Technology,Computer Software: Prepackaged Software
NATR,12.02716,10.85513,0.92352,2,Health Care,Major Pharmaceuticals
MSM,17.9787,13.15673,0.97225,2,Capital Goods,Industrial Machinery/Components
MSTR,0.43815,0.33389,1.55835,0,Technology,Computer Software: Prepackaged Software
MTH,18.39056,11.69945,1.70302,0,Capital Goods,Homebuilding
NAVI,14.48853,0.46249,1.82975,0,Finance,Investment Bankers/Brokers/Service
MTN,7.01598,2.75859,1.25787,0,Consumer Services,Services-Misc. Amusement & Recreation
MTR,30.98055,30.98055,1.13647,1,Energy,Oil & Gas Production
MTX,7.76542,3.97038,1.52842,0,Basic Industries,Major Chemicals
MTZ,17.51109,8.61998,1.3821,0,Basic Industries,Water Supply
MU,7.1771,6.10482,1.36517,0,Technology,Semiconductors
MX,10.277,3.25111,1.08525,2,Technology,Semiconductors
MTEX,30.01828,23.22993,1.13911,1,Consumer Durables,Specialty Chemicals
